	title	link	source	salary_min	salary_max
254	Системный аналитик	https://spb.hh.ru/vacancy/51004414	hh.ru	140000	
255	Analyst / Аналитик	https://spb.hh.ru/vacancy/50587022	hh.ru		
256	Бизнес-аналитик	https://spb.hh.ru/vacancy/51725289	hh.ru		
257	Финансовый аналитик / Экономист-аналитик	https://spb.hh.ru/vacancy/51544974	hh.ru	70000	
258	Data analyst / Дата аналитик	https://spb.hh.ru/vacancy/51113216	hh.ru		270000
259	Экономист-аналитик	https://spb.hh.ru/vacancy/50610641	hh.ru		
260	Старший аналитик	https://spb.hh.ru/vacancy/51796933	hh.ru		100000
261	Специалист отдела аналитики и поддержки	https://spb.hh.ru/vacancy/50389171	hh.ru	40000	
262	Системный аналитик	https://spb.hh.ru/vacancy/51777693	hh.ru		
263	Аналитик	https://spb.hh.ru/vacancy/50998849	hh.ru		
264	Рекламный аналитик	https://spb.hh.ru/vacancy/50892015	hh.ru	150000	
265	Менеджер по аналитике (e-commerce)	https://spb.hh.ru/vacancy/49518960	hh.ru		
266	Экономист-аналитик	https://spb.hh.ru/vacancy/51735134	hh.ru	100000	
267	Финансовый аналитик	https://spb.hh.ru/vacancy/47478737	hh.ru		
268	Экономист-аналитик	https://spb.hh.ru/vacancy/50610641	hh.ru		
269	Бизнес-аналитик	https://spb.hh.ru/vacancy/51728090	hh.ru		
270	Продуктовый аналитик мобильных приложений (junior)	https://spb.hh.ru/vacancy/50825948	hh.ru	30000	
271	Бизнес-аналитик	https://spb.hh.ru/vacancy/51807490	hh.ru		
272	Аналитик (Analyst)	https://spb.hh.ru/vacancy/49576202	hh.ru		
273	Product Analyst	https://spb.hh.ru/vacancy/51462973	hh.ru		
274	Ведущий системный аналитик	https://spb.hh.ru/vacancy/51180444	hh.ru		300000
275	Аналитик	https://spb.hh.ru/vacancy/51069065	hh.ru		
276	Маркетолог-аналитик	https://spb.hh.ru/vacancy/50955688	hh.ru	100000	
277	Младший аналитик данных	https://spb.hh.ru/vacancy/51612885	hh.ru		
278	Аналитик Power BI	https://spb.hh.ru/vacancy/51602492	hh.ru		
279	Аналитик данных	https://spb.hh.ru/vacancy/49498045	hh.ru		
280	Финансовый аналитик	https://spb.hh.ru/vacancy/51611309	hh.ru		
281	Аналитик	https://spb.hh.ru/vacancy/51289792	hh.ru	85000	
282	Бизнес-аналитик	https://spb.hh.ru/vacancy/50466460	hh.ru		
283	Джуниор аналитик	https://spb.hh.ru/vacancy/51773015	hh.ru		
284	Бизнес-аналитик	https://spb.hh.ru/vacancy/51013074	hh.ru		
285	Lead Product Manager	https://spb.hh.ru/vacancy/50643933	hh.ru		
286	Финансовый менеджер / Аналитик	https://spb.hh.ru/vacancy/50642610	hh.ru		
287	Системный аналитик	https://spb.hh.ru/vacancy/51268887	hh.ru		
288	Системный аналитик	https://spb.hh.ru/vacancy/50982274	hh.ru		
289	Аналитик бизнес-процессов	https://spb.hh.ru/vacancy/51274772	hh.ru	60000	
290	Аналитик отдела продаж	https://spb.hh.ru/vacancy/51650158	hh.ru		
291	Аналитик логистических процессов	https://spb.hh.ru/vacancy/50657142	hh.ru		
292	Аналитик/специалист по планированию (в центр проектов)	https://spb.hh.ru/vacancy/51613234	hh.ru		
293	Специалист по аналитике отдела продаж	https://spb.hh.ru/vacancy/50808992	hh.ru		
294	Аналитик по ценообразованию	https://spb.hh.ru/vacancy/50942491	hh.ru	100000	
295	Младший аналитик/младший маркетолог	https://spb.hh.ru/vacancy/51625320	hh.ru		
296	Бизнес-аналитик	https://spb.hh.ru/vacancy/51619127	hh.ru		
297	Аналитик	https://spb.hh.ru/vacancy/51784555	hh.ru	20000	
298	Аналітик баз даних	https://spb.hh.ru/vacancy/50810074	hh.ru		
299	Аналитик	https://spb.hh.ru/vacancy/51792385	hh.ru		
300	Ведущий аналитик процессов послепродажного обслуживания	https://spb.hh.ru/vacancy/51637104	hh.ru	100000	
301	Аналитик данных	https://spb.hh.ru/vacancy/50596406	hh.ru		
302	Системный аналитик	https://spb.hh.ru/vacancy/51000684	hh.ru		350000
303	Бизнес-аналитик (IT)	https://spb.hh.ru/vacancy/51204815	hh.ru	70000	
304	Младший аналитик	https://spb.hh.ru/vacancy/51018574	hh.ru	35000	
305	Аналитик бизнес-процессов (удаленно)	https://spb.hh.ru/vacancy/51680050	hh.ru		
306	Стажер аналитик-проектировщик (удаленно)	https://spb.hh.ru/vacancy/46873015	hh.ru	30000	
307	Аналитик по ценообразованию	https://spb.hh.ru/vacancy/48139165	hh.ru		
308	Маркетолог-аналитик	https://spb.hh.ru/vacancy/51189535	hh.ru		
309	Аналитик (стратегический консалтинг)	https://spb.hh.ru/vacancy/47325529	hh.ru		
310	Аналитик	https://spb.hh.ru/vacancy/50237059	hh.ru	60000	
311	Экономист-аналитик	https://spb.hh.ru/vacancy/50378403	hh.ru		
312	Аналитик (стажер)	https://spb.hh.ru/vacancy/51081865	hh.ru	20000	
313	Аналитик	https://spb.hh.ru/vacancy/50998849	hh.ru		
314	Руководитель аналитической группы	https://spb.hh.ru/vacancy/50914761	hh.ru		
315	Менеджер-аналитик	https://spb.hh.ru/vacancy/50081690	hh.ru		
316	Аналитик данных	https://spb.hh.ru/vacancy/49937733	hh.ru		
317	Финансовый аналитик	https://spb.hh.ru/vacancy/50642287	hh.ru		
318	Аналитик	https://spb.hh.ru/vacancy/51266418	hh.ru	50000	
319	Аналитик в отдел исследований (Fintech)	https://spb.hh.ru/vacancy/51602542	hh.ru		
